time_s,Ecell_V,I_mA,EnergyCharge_W_h,QCharge_mA_h,EnergyDischarge_W_h,QDischarge_mA_h,Temperature__C,cycleNumber,Ns,Clase
20.00000095,3.5367041,1501.6486,0.029492087,8.343741703,0,0,30.190681,0,0,VAH10
30.00000142,3.5395799,1502.2396,0.044258893,12.51565103,0,0,30.450787,0,0,VAH10
40.0000019,3.5417862,1502.2396,0.059034954,16.68757437,0,0,30.647837,0,0,VAH10
50.00000237,3.5435984,1502.4366,0.073818734,20.85954269,0,0,30.584782,0,0,VAH10
60.00000285,3.5452137,1501.6484,0.08860927,25.03151585,0,0,30.734541,0,0,VAH10
70.00000332,3.5467107,1502.2396,0.103405975,29.20346709,0,0,30.81336,0,0,VAH10
80.0000038,3.5482473,1502.0427,0.118208921,33.37537083,0,0,30.994646,0,0,VAH10
90.00000427,3.5496657,1501.8456,0.133017734,37.54726045,0,0,31.034058,0,0,VAH10
100.0000047,3.5512416,1502.8307,0.147833338,41.71921073,0,0,31.018291,0,0,VAH10
110.0000052,3.5526597,1501.4513,0.162654746,45.89112947,0,0,31.175934,0,0,VAH10
120.0000057,3.5542357,1501.8456,0.177482665,50.06303048,0,0,31.254755,0,0,VAH10
130.0000062,3.5556934,1502.2396,0.192316769,54.2349605,0,0,31.302046,0,0,VAH10
140.0000066,3.5571511,1501.6486,0.207157036,58.4069135,0,0,31.254755,0,0,VAH10
150.0000071,3.5587664,1502.4366,0.222003634,62.57875168,0,0,31.554272,0,0,VAH10
160.0000076,3.5601847,1501.4515,0.236856391,66.75065816,0,0,31.215345,0,0,VAH10
170.0000081,3.5616031,1501.6487,0.251714759,70.92247849,0,0,31.499096,0,0,VAH10
180.0000085,3.563297,1502.2396,0.266580313,75.09433199,0,0,31.483334,0,0,VAH10
190.000009,3.5647941,1501.8456,0.281451959,79.26614269,0,0,31.262636,0,0,VAH10
200.0000095,3.5663307,1502.2396,0.296329935,83.43793095,0,0,31.451805,0,0,VAH10
210.00001,3.5678673,1501.6486,0.311214411,87.60974418,0,0,31.514862,0,0,VAH10
220.0000104,3.569443,1502.2396,0.326105613,91.7816001,0,0,31.538506,0,0,VAH10
230.0000109,3.5709796,1501.6484,0.341003225,95.95345591,0,0,31.554272,0,0,VAH10
240.0000114,3.5725555,1502.0426,0.355907568,100.1253555,0,0,31.491217,0,0,VAH10
250.0000119,3.5741313,1502.0426,0.370818162,104.2971649,0,0,31.617327,0,0,VAH10
260.0000123,3.5756285,1501.4513,0.385735155,108.4690168,0,0,31.688267,0,0,VAH10
270.0000128,3.5772042,1501.8457,0.40065838,112.6407734,0,0,31.774967,0,0,VAH10
280.0000133,3.5785832,1502.2396,0.4155875,116.8125697,0,0,31.530626,0,0,VAH10
290.0000138,3.5800803,1502.2397,0.430523153,120.9844461,0,0,31.664621,0,0,VAH10
300.0000142,3.5818532,1502.4366,0.445465891,125.1562359,0,0,31.759205,0,0,VAH10
310.0000147,3.5833108,1502.2396,0.460414677,129.3280162,0,0,31.790733,0,0,VAH10
320.0000152,3.5847685,1502.2396,0.475369535,133.4997942,0,0,31.601563,0,0,VAH10
330.0000157,3.5863445,1501.6486,0.490331165,137.6716269,0,0,31.640972,0,0,VAH10
340.0000161,3.5879204,1501.0573,0.505299764,141.84357,0,0,31.814377,0,0,VAH10
350.0000166,3.5894568,1500.6632,0.52027466,146.0154813,0,0,31.672501,0,0,VAH10
360.0000171,3.5909934,1501.8456,0.535255621,150.1872966,0,0,31.877434,0,0,VAH10
370.0000176,3.5925691,1502.0426,0.550243474,154.3592006,0,0,31.767088,0,0,VAH10
380.000018,3.5941844,1502.2396,0.565237772,158.5310226,0,0,31.767088,0,0,VAH10
390.0000185,3.5956817,1502.8308,0.58023875,162.7029654,0,0,31.861671,0,0,VAH10
400.000019,3.597297,1502.634,0.595246605,166.8749466,0,0,31.633093,0,0,VAH10
410.0000195,3.5988333,1502.8308,0.610260752,171.0468949,0,0,31.688267,0,0,VAH10
420.0000199,3.6003699,1502.6338,0.625281182,175.2188078,0,0,31.711912,0,0,VAH10
430.0000204,3.6019852,1501.4513,0.640308502,179.3907628,0,0,31.814377,0,0,VAH10
440.0000209,3.6036398,1502.2396,0.655342301,183.5625999,0,0,31.790733,0,0,VAH10
